title,chart_week,performer,peak_pos,wks_on_chart,album_name,release_date,popularity,explicit,listeners,play_count,duration_s,genre
Nadie,2025-02-22,Tito Double P,78,6,NADIE,2024-11-21,87,True,43186,569897,197.031,corrido
Forever Young,2025-02-22,David Guetta,90,5,Forever Young,2024-10-18,82,False,77320,298628,156.923,edm
Rosones,2025-02-22,Tito Double P,76,8,ROSONES,2024-12-05,87,True,53955,660448,177.59,corrido
Weltita,2025-02-22,Bad Bunny,32,6,DeBÍ TiRAR MáS FOToS,2025-01-05,88,False,277649,2319811,187.507,reggaeton
Think I'm In Love With You,2025-02-15,Chris Stapleton,49,40,Higher,2023-11-10,82,False,125606,851979,222.8,country
Blue Jean Baby,2025-02-15,Zach Bryan,73,2,Blue Jean Baby,2025-01-27,77,False,54283,361762,132.068,country
Kloufrens,2025-02-15,Bad Bunny,40,5,DeBÍ TiRAR MáS FOToS,2025-01-05,90,True,246860,2305740,199.114,reggaeton
Perfumito Nuevo,2025-02-15,Bad Bunny,31,5,DeBÍ TiRAR MáS FOToS,2025-01-05,86,True,261570,2101819,200.68,reggaeton
I Am Not Okay,2025-02-08,Jelly Roll,14,32,Beautifully Broken,2024-10-10,79,False,42913,232277,198.066,country hip hop
Ketu Tecre,2025-02-08,Bad Bunny,38,4,DeBÍ TiRAR MáS FOToS,2025-01-05,84,True,13,30,250.789,reggaeton
Cafe Con Ron,2025-02-08,Bad Bunny,48,4,DeBÍ TiRAR MáS FOToS,2025-01-05,84,False,3,12,228.836,reggaeton
Bokete,2025-02-08,Bad Bunny,42,4,DeBÍ TiRAR MáS FOToS,2025-01-05,83,True,219788,1682167,215.983,reggaeton
GBP,2025-02-08,Central Cee,81,2,21 Gang,2016-10-28,18,True,2421,7270,206.412,uk drill
Turista,2025-02-08,Bad Bunny,45,4,DeBÍ TiRAR MáS FOToS,2025-01-05,84,False,218195,1675081,190.028,reggaeton
La Mudanza,2025-02-08,Bad Bunny,51,4,DeBÍ TiRAR MáS FOToS,2025-01-05,82,True,210130,1423276,213.01,reggaeton
Pitorro de Coco,2025-02-08,Bad Bunny,50,5,DeBÍ TiRAR MáS FOToS,2025-01-05,81,False,215850,1559405,206.627,reggaeton
Wondering Why,2025-02-08,The Red Clay Strays,71,20,Moment of Truth,2022-04-29,85,False,186708,1830929,232.917,country
Boys Back Home,2025-02-08,Dylan Marlowe,75,5,Livin' My Best Life (Still),2024-03-29,51,False,19367,134160,165.835,country
Wind Up Missin' You,2025-02-01,Tucker Wetmore,31,43,Waves On A Sunset,2024-10-04,84,True,19540,114828,166.666,country
Lo Que Le Paso A Hawaii,2025-02-01,Bad Bunny,62,3,DeBÍ TiRAR MáS FOToS,2025-01-05,79,False,9,21,229.381,reggaeton
Dos Dias,2025-02-01,Tito Double P,51,20,INCÓMODO,2024-08-22,88,True,4,206,153.928,corrido
Scorsese Baby Daddy,2025-02-01,SZA,41,5,SOS Deluxe: LANA,2024-12-20,77,True,406964,4077552,153.911,r&b
Popular,2025-02-01,Ariana Grande,53,9,Wicked: The Soundtrack,2024-11-22,76,False,348720,3326142,241.501,pop
Bigger Houses,2025-01-25,Dan + Shay,91,1,Bigger Houses,2023-09-15,60,False,16987,92185,197.066,country
Drive,2025-01-25,SZA,51,4,SOS Deluxe: LANA,2024-12-20,71,True,248907,1850640,185.132,r&b
Lies Lies Lies,2025-01-18,Morgan Wallen,7,23,Lies Lies Lies,2024-07-05,79,False,117128,888160,198.068,country
Diamond Boy (DTM),2025-01-11,SZA,60,2,SOS Deluxe: LANA,2024-12-20,71,True,312869,2086346,217.523,r&b
What Do I Do,2025-01-11,SZA,62,2,SOS Deluxe: LANA,2024-12-20,75,True,353058,2342329,167.448,r&b
Another Life,2025-01-11,SZA,64,2,SOS Deluxe: LANA,2024-12-20,74,True,276357,2282813,205.214,r&b
Empty Out Your Pockets,2025-01-11,Juice WRLD,56,5,The Party Never Ends 2.0,2024-11-30,80,True,149563,2365705,135.653,melodic rap
Crybaby,2025-01-11,SZA,70,2,SOS Deluxe: LANA,2024-12-20,77,True,294420,2540453,241.948,r&b
Apple,2025-01-11,Charli xcx,51,20,BRAT,2024-06-07,84,False,1202466,18593228,151.739,hyperpop
Kitchen,2025-01-11,SZA,71,2,SOS Deluxe: LANA,2024-12-20,71,True,292982,2782785,172.171,r&b
What Is This Feeling?,2025-01-11,Ariana Grande,62,5,Wicked: The Soundtrack,2024-11-22,76,False,303584,3829304,228.947,pop
Ends Of The Earth,2025-01-11,Ty Myers,94,1,Ends of the Earth,2024-10-18,73,False,26390,182902,269.83,country
Chill Baby,2025-01-11,SZA,80,2,SOS Deluxe: LANA,2024-12-20,70,True,279421,1686258,140.637,r&b
High Road,2025-01-11,Zach Bryan,29,5,High Road,2024-11-07,72,True,47899,356836,199.893,country
On One Tonight,2025-01-11,Gunna,54,7,One of Wun,2024-05-10,82,True,412420,4376639,90.76,melodic rap
Cowboy Songs,2025-01-11,George Birge,100,1,Cowboy Songs,2024-04-05,62,False,5448,35734,187.186,country
All I Want For Christmas Is You,2025-01-04,Mariah Carey,1,71,Merry Christmas,1994-10-28,70,False,1956015,17231673,241.106,christmas
Rockin' Around The Christmas Tree,2025-01-04,Brenda Lee,1,64,Merry Christmas From Brenda Lee,1964-10-19,62,False,1419275,7133314,126.266,christmas
Last Christmas,2025-01-04,Wham!,3,45,LAST CHRISTMAS,1984-11-29,72,False,1797747,12827415,262.96,christmas
Jingle Bell Rock,2025-01-04,Bobby Helms,3,61,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),1957-12-02,62,False,1418430,6470543,130.973,christmas
Santa Tell Me,2025-01-04,Ariana Grande,5,29,Santa Tell Me,2014-11-24,66,False,1131464,8201867,204.093,pop
A Holly Jolly Christmas,2025-01-04,Burl Ives,4,45,Have A Holly Jolly Christmas,1965-10-01,45,False,593723,1917098,135.533,christmas
Let It Snow! Let It Snow! Let It Snow!,2025-01-04,Dean Martin,7,36,A Winter Romance,1959-01-01,58,False,1080710,4601051,117.146,christmas
Underneath The Tree,2025-01-04,Kelly Clarkson,9,32,Wrapped In Red,2013-10-25,57,False,824232,4372891,229.64,christmas
The Christmas Song (Merry Christmas To You),2025-01-04,"Nat ""King"" Cole",9,49,The Nat King Cole Story,1961-09-25,49,False,804201,3290621,190.973,christmas
It's Beginning To Look A Lot Like Christmas,2025-01-04,Michael Buble,12,24,Christmas (Deluxe Special Edition),2012-11-09,56,False,1081397,5498267,206.639,christmas
Sleigh Ride,2025-01-04,The Ronettes,8,33,Sleigh Ride,2020-12-04,47,False,893915,3640631,181.266,christmas
Run Rudolph Run,2025-01-04,Chuck Berry,10,26,Rock 'N' Roll Rarities,1986-01-01,55,False,515065,1482360,165.733,rockabilly
It's Beginning To Look A Lot Like Christmas,2025-01-04,Perry Como,12,27,Greatest Christmas Songs,1999-08-23,52,False,127771,347846,155.933,christmas
White Christmas (1947),2025-01-04,Bing Crosby,12,39,Bing: A Musical Autobiography,1954-08-01,1,False,976,3503,203.6,christmas
Deck The Halls,2025-01-04,Nat King Cole,16,17,Christmas 2025,2024-05-22,5,False,288078,774495,68.8,christmas
Blue Christmas,2025-01-04,Elvis Presley,18,16,Elvis' Christmas Album,1957-10-15,53,False,836335,3182073,129.173,rockabilly
Little Saint Nick,2025-01-04,The Beach Boys,25,11,The Beach Boys' Christmas Album,1964-11-09,48,False,393411,1097674,118.84,baroque pop
Please Come Home For Christmas,2025-01-04,Eagles,18,17,Please Come Home for Christmas / Funky New Year (2013 Remaster),1978-11-27,52,False,95268,336656,177.44,classic rock
Rudolph The Red-Nosed Reindeer,2025-01-04,Gene Autry,16,29,A Gene Autry Christmas,1994-08-23,13,False,256617,707033,186.426,christmas
Christmastime Is Here,2025-01-04,Vince Guaraldi Trio,31,7,The Weather Channel Presents: Winter Wonderland,2008-01-01,6,False,2927,14003,369.706,christmas
This Christmas,2025-01-04,Donny Hathaway,34,6,A Donny Hathaway Collection,1990-04-03,44,False,419696,1291409,231.173,soul
Baby It's Cold Outside,2025-01-04,Dean Martin,36,2,A Winter Romance,1959-01-01,47,False,30838,90949,143.733,christmas
Holly Jolly Christmas,2025-01-04,Michael Buble,37,1,Christmas (Deluxe Special Edition),2012-11-09,51,False,873674,3671105,119.786,christmas
Merry Christmas,2025-01-04,Ed Sheeran,38,8,Merry Christmas,2021-12-03,56,False,283782,964460,208.546,soft pop
No More Hiding,2025-01-04,SZA,69,1,SOS Deluxe: LANA,2024-12-20,64,True,325861,1656006,162.662,r&b
Love Me 4 Me,2025-01-04,SZA,79,1,SOS Deluxe: LANA,2024-12-20,64,True,268074,1602164,185.749,r&b
My Turn,2025-01-04,SZA,81,1,SOS Deluxe: LANA,2024-12-20,65,False,237358,1401721,177.242,r&b
Reincarnated,2024-12-28,Kendrick Lamar,8,4,GNX,2024-11-22,77,True,621997,5606246,275.74,hip hop
Heart Pt. 6,2024-12-28,Kendrick Lamar,14,4,GNX,2024-11-22,77,True,638274,5586717,292.461,hip hop
Man At The Garden,2024-12-28,Kendrick Lamar,9,4,GNX,2024-11-22,74,True,634087,4121021,233.173,hip hop
Gloria,2024-12-28,Kendrick Lamar,27,4,GNX,2024-11-22,76,True,249604,529082,287.522,hip hop
Toxic Till The End,2024-12-21,ROSE,90,1,rosie,2024-12-06,85,False,205,1036,156.685,k-pop
White Christmas,2024-12-21,V,93,1,White Christmas (with V of BTS),2024-12-06,70,False,1088,17725,173.033,k-pop
GNX,2024-12-21,Kendrick Lamar,24,3,GNX,2024-11-22,71,True,256507,530901,193.539,hip hop
You Look Like You Love Me,2024-12-14,Ella Langley,30,24,hungover,2024-08-02,79,False,1568,7414,224.28,country
Misfit,2024-12-14,Juice WRLD,65,1,The Party Never Ends 2.0,2024-11-30,72,True,113839,1026363,159.029,melodic rap
Ma Meilleure Ennemie,2024-12-14,Stromae,69,2,Ma Meilleure Ennemie (from the series Arcane League of Legends),2024-11-23,81,False,235,4273,147.973,french pop
AGATS2 (Insecure),2024-12-14,Juice WRLD,68,2,The Party Never Ends 2.0,2024-11-30,65,True,746,6155,199.073,melodic rap
The Party Never Ends,2024-12-14,Juice WRLD,80,1,The Party Never Ends 2.0,2024-11-30,80,True,97596,584236,135.653,melodic rap
Dancing Through Life,2024-12-14,Jonathan Bailey,86,2,This Is My Life (Bontan Remix),2024-02-23,68,False,184129,1538295,202.5,musicals
No One Mourns The Wicked,2024-12-14,Ariana Grande,86,2,Wicked: The Soundtrack,2024-11-22,72,False,224,4069,447.991,pop
KTM Drip,2024-12-14,Juice WRLD,91,1,The Party Never Ends 2.0,2024-11-30,68,True,84727,946494,240.0,melodic rap
The Wizard And I,2024-12-14,Cynthia Erivo,92,2,High with You,2024-10-18,7,False,186827,1874598,166.666,musicals
Cuffed,2024-12-14,Juice WRLD,95,1,The Party Never Ends 2.0,2024-11-30,66,True,77002,654379,244.093,melodic rap
I'm Not That Girl,2024-12-14,Cynthia Erivo,94,2,Wicked: The Soundtrack,2024-11-22,69,False,407,3938,237.043,musicals
Winter Ahead,2024-12-14,V,99,1,Winter Ahead (with PARK HYO SHIN),2024-11-29,85,False,255,83415,234.895,k-pop
Ain't No Love In Oklahoma,2024-11-30,Luke Combs,13,27,Ain't No Love In Oklahoma (From Twisters: The Album),2024-05-16,87,False,27810,235625,210.95,country
Cowgirls,2024-11-30,Morgan Wallen,12,49,I Had Some Help,2024-05-10,86,True,3415,21209,178.205,country
Miles On It,2024-11-30,Marshmello,15,29,Miles On It,2024-05-03,84,False,117276,659678,168.355,edm
Beautiful As You,2024-11-30,Thomas Rhett,50,24,About A Woman,2024-08-23,73,False,30579,164729,163.894,country
Running Wild,2024-11-30,JIN,53,1,Happy,2024-11-15,78,False,137004,104223675,151.646,k-pop
Tu Con El,2024-11-30,Rauw Alejandro,69,1,Cosa Nuestra,2024-11-15,82,False,8,16,289.131,reggaeton
The Emptiness Machine,2024-11-30,Linkin Park,21,7,From Zero,2024-11-15,85,True,556083,10139225,190.427,nu metal
Se Fue,2024-11-30,Rauw Alejandro,82,1,Cosa Nuestra,2024-11-15,75,False,52775,426711,240.179,reggaeton
Him All Along,2024-11-30,Gunna,58,5,HIM ALL ALONG,2024-10-18,78,True,158078,885257,158.666,melodic rap
Revolu,2024-11-30,Rauw Alejandro,88,1,Cosa Nuestra,2024-11-15,77,True,2,2,215.511,reggaeton
La Patrulla,2024-11-30,Peso Pluma,47,18,ÉXODO,2024-06-20,84,True,129134,1733173,130.614,corrido
El Lokeron,2024-11-30,Tito Double P,73,8,INCÓMODO,2024-08-22,85,True,64747,878002,145.473,corrido
28,2024-11-30,Zach Bryan,14,20,The Great American Bar Scene,2024-07-04,83,False,195716,2145619,233.333,country
Dejame Entrar,2024-11-30,Rauw Alejandro,96,1,Cosa Nuestra,2024-11-15,74,True,88,389,254.705,reggaeton
Neon Moon,2024-11-30,Brooks,97,1,Reboot II,2024-11-15,71,False,31,83,251.776,future house
Pink Skies,2024-11-23,Zach Bryan,6,25,Pink Skies,2024-05-24,88,False,312628,3409837,194.92,country
This World's A Giant,2024-11-23,Zach Bryan,49,1,This World's A Giant,2024-11-07,66,False,40244,273659,216.16,country
Kehlani,2024-11-23,Jordan Adetunji,24,21,KEHLANI,2024-06-24,77,False,341526,3383288,122.36,sexy drill
+57,2024-11-23,Karol G,62,1,+57,2024-11-08,85,True,81697,506862,298.13,reggaeton
For Me,2024-11-23,Loe Shimmy,78,1,Nardy World,2024-11-08,73,False,41864,378274,203.624,sexy drill
Nel,2024-11-23,Fuerza Regida,70,14,PERO NO TE ENAMORES,2024-07-25,83,True,62726,611387,149.073,corrido
Chill Bae,2024-11-16,Lil Uzi Vert,48,1,Eternal Atake 2,2024-11-01,67,True,173930,1427891,138.323,melodic rap
Light Year (Practice),2024-11-16,Lil Uzi Vert,54,1,Eternal Atake 2,2024-11-01,63,True,170908,1160746,164.366,melodic rap
Si Antes Te Hubiera Conocido,2024-11-16,Karol G,32,20,Si Antes Te Hubiera Conocido,2024-06-21,94,False,370181,3830887,195.824,reggaeton
South Of France,2024-11-16,Future,57,2,SOUTH OF FRANCE (REMIX),2024-10-31,62,True,104960,576570,183.919,rap
We Good,2024-11-16,Lil Uzi Vert,82,1,Eternal Atake 2,2024-11-01,55,True,150470,662453,125.0,melodic rap
2AM,2024-11-16,BigXthaPlug,64,3,TAKE CARE,2024-10-11,75,True,66362,297476,184.133,southern hip hop
Change Me,2024-11-16,BigXthaPlug,79,4,TAKE CARE,2024-10-11,77,True,151487,882366,136.866,southern hip hop
360,2024-11-02,Charli xcx,41,20,BRAT,2024-06-07,84,True,1351397,26865235,133.805,hyperpop
Si No Es Contigo,2024-11-02,Cris Mj,72,4,SI NO ES CONTIGO (REMIX),2024-10-17,83,True,184478,2441230,254.5,reggaeton chileno
Sympathy Is A Knife,2024-11-02,Charli xcx,36,2,Brat and it’s completely different but also still brat,2024-10-11,71,True,865795,13588349,154.126,hyperpop
Lil Demon,2024-11-02,Future,25,5,MIXTAPE PLUTO,2024-09-20,78,True,260162,2166814,139.196,rap
Back On My BS,2024-11-02,BigXthaPlug,95,1,THE BIGGEST,2023-12-01,80,True,350330,2508154,94.426,southern hip hop
Leave Me Alone,2024-11-02,BigXthaPlug,96,2,TAKE CARE,2024-10-11,65,True,66001,254824,143.266,southern hip hop
Houdini,2024-10-26,Eminem,2,20,Houdini,2024-05-31,81,True,572052,5630487,227.239,rap
Too Fast,2024-10-19,Future,23,3,MIXTAPE PLUTO,2024-09-20,64,True,136226,517063,205.73,rap
Plutoski,2024-10-19,Future,29,3,MIXTAPE PLUTO,2024-09-20,67,True,181380,1083289,179.022,rap
Teflon Don,2024-10-19,Future,21,3,MIXTAPE PLUTO,2024-09-20,67,True,212549,1242010,159.893,rap
Chevrolet,2024-10-19,Dustin Lynch,50,17,American Made,2010-11-16,38,False,245,548,294.374,country
Ski,2024-10-19,Future,26,3,MIXTAPE PLUTO,2024-09-20,66,True,164966,1025612,147.592,rap
This Is My Dirt,2024-10-19,Justin Moore,96,2,This Is My Dirt,2023-11-17,55,False,3341,15465,217.058,country
All Red,2024-10-19,Playboi Carti,15,4,ALL RED,2024-09-13,74,True,466744,11757983,148.053,rage rap
Keep Up,2024-10-12,Odetari,96,1,KEEP UP // FROSTBITE,2024-07-17,80,True,276436,3390476,133.226,hyperpop
Ready To Cook Up,2024-10-05,Future,42,1,MIXTAPE PLUTO,2024-09-20,57,True,122209,511251,167.111,rap
Ocean,2024-10-05,Future,46,1,MIXTAPE PLUTO,2024-09-20,57,True,105536,467615,203.096,rap
Brazzier,2024-10-05,Future,59,1,MIXTAPE PLUTO,2024-09-20,61,True,103927,583532,188.565,rap
Press The Button,2024-10-05,Future,61,1,MIXTAPE PLUTO,2024-09-20,54,True,93463,379081,170.256,rap
Surfing A Tsunami,2024-10-05,Future,63,1,MIXTAPE PLUTO,2024-09-20,57,True,85962,474844,213.698,rap
One Of Wun,2024-10-05,Gunna,26,20,One of Wun,2024-05-10,84,True,491973,5608409,144.0,melodic rap
Oath,2024-10-05,Future,70,1,MIXTAPE PLUTO,2024-09-20,60,True,92530,525166,94.777,rap
Una Velita,2024-10-05,Bad Bunny,79,1,Una Velita,2024-09-19,65,True,56965,319610,239.986,reggaeton
Aye Say Gang,2024-10-05,Future,80,1,MIXTAPE PLUTO,2024-09-20,58,True,80247,405171,208.457,rap
Told My,2024-10-05,Future,81,1,MIXTAPE PLUTO,2024-09-20,58,True,84252,429866,101.408,rap
Lost My Dog,2024-10-05,Future,83,1,MIXTAPE PLUTO,2024-09-20,53,True,72517,279231,173.736,rap
Made My Hoe Faint,2024-10-05,Future,85,1,MIXTAPE PLUTO,2024-09-20,51,True,77701,304820,115.2,rap
Circadian Rhythm,2024-10-05,Drake,59,4,100 GIGS,2024-08-30,79,True,207442,1897277,126.356,rap
Si No Quieres No,2024-09-28,Luis R Conriquez x Neton Vega,53,20,Pensandolo Bien,2023-07-14,39,False,2,4,188.939,corrido
The Boy Is Mine,2024-09-28,Ariana Grande,16,20,eternal sunshine,2024-03-08,83,True,859771,20241868,173.639,pop
BAND4BAND,2024-09-28,Central Cee,18,17,BAND4BAND (feat. Lil Baby),2024-05-23,79,True,14810,49085,140.733,uk drill
No Face,2024-09-28,Drake,60,3,No Face,2024-08-31,78,True,230207,1835507,137.142,rap
Fuel,2024-09-28,Eminem,21,3,The Death of Slim Shady (Coup De Grâce),2024-07-12,75,True,236565,1653082,213.646,rap
Nasty,2024-09-28,Tinashe,61,16,Quantum Baby,2024-08-16,72,False,498372,5136865,176.027,alternative r&b
It's Up,2024-09-21,Drake,28,5,100 GIGS,2024-08-30,74,True,327,5349,278.0,rap
Ruby Rosary,2024-09-21,A$AP Rocky,85,1,Acid Rain - REMIXES,2013-04-16,5,False,611,2738,425.013,rap
Crazy,2024-09-21,LE SSERAFIM,76,2,CRAZY (Party Remixes 1),2024-09-02,80,False,615540,13557010,164.554,k-pop
Disco,2024-09-21,Surf Curse,91,1,Disco,2019-06-12,83,False,888711,8659378,152.76,indie
American Nights,2024-09-21,Zach Bryan,21,9,The Great American Bar Scene,2024-07-04,79,False,100972,920842,218.933,country
Dirt Cheap,2024-09-14,Cody Johnson,43,20,Leather,2023-11-03,75,False,32811,275472,239.346,texas country
Tailor Swif,2024-09-14,A$AP Rocky,84,1,Tailor Swif,2024-08-30,70,True,307810,2544358,155.391,rap
Love You Again,2024-09-14,Chase Matthew,91,1,Come Get Your Memory,2023-06-09,64,False,28848,213122,173.636,country
Young Love & Saturday Nights,2024-09-14,Chris Young,94,1,Young Love & Saturday Nights,2024-03-22,66,False,14883,66854,196.373,country
Drugs You Should Try It,2024-09-07,Travis Scott,66,1,DAYS BEFORE RODEO,2014-08-18,75,True,24083,346708,208.487,rap
Hang Tight Honey,2024-09-07,Lainey Wilson,61,11,Hang Tight Honey,2024-05-13,63,False,16641,83117,189.786,country
She's Somebody's Daughter (Reimagined),2024-09-07,Drew Baldridge,93,3,Country Born,2022-09-30,44,False,461,1543,209.52,country
We Can't Be Friends (Wait For Your Love),2024-08-31,Ariana Grande,1,24,eternal sunshine,2024-03-08,89,False,1104395,26456433,228.639,pop
Bulletproof,2024-08-31,Nate Smith,37,20,Through the Smoke,2024-04-05,74,False,30955,199850,183.919,country
New Woman,2024-08-31,LISA,97,1,New Woman (feat. ROSALÍA),2024-08-15,75,True,3243,24059,179.789,k-pop
Blue Green Red,2024-08-24,Drake,63,1,Evolved,2022-11-25,9,True,73204,386245,109.969,rap
Illusion,2024-08-24,Dua Lipa,43,18,Radical Optimism,2024-05-03,81,False,469177,5948461,188.143,pop
Housekeeping Knows,2024-08-24,Drake,85,1,Caldero Feliz,2023-09-15,45,False,627,2137,166.2,rap
Sweet Dreams,2024-08-24,Koe Wetzel,35,13,9 Lives,2024-07-19,70,False,26310,244827,173.269,red dirt
Type Shit,2024-08-17,Future,2,20,WE DON'T TRUST YOU,2024-03-22,85,True,753644,11378394,228.266,rap
We Ride,2024-08-17,Bryan Martin,56,18,Poets & Old Souls,2023-03-31,81,True,78164,607359,188.482,country
Tobey,2024-08-10,Eminem,24,5,The Death of Slim Shady (Coup De Grâce),2024-07-12,69,True,2859,12415,284.903,rap
Somebody Save Me,2024-08-10,Eminem,27,3,The Death of Slim Shady (Coup De Grâce),2024-07-12,75,True,139893,698259,230.199,rap
Linger,2024-08-10,Royel Otis,94,1,Linger / Heading For The Door (Sirius XM Session),2024-05-31,77,False,1694,9796,186.0,indie
Better Days,2024-08-10,Zach Bryan,46,4,The Misadventures Of Fern & Marty,2017-01-13,14,False,308,843,214.666,country
Wanna Be Loved,2024-08-10,The Red Clay Strays,100,1,Made by These Moments,2024-07-26,78,False,59745,412958,217.307,country
Chk Chk Boom,2024-08-03,Stray Kids,49,1,ATE,2024-07-19,82,False,252234,8758460,148.051,k-pop
Habits,2024-08-03,Eminem,19,2,The Death of Slim Shady (Coup De Grâce),2024-07-12,68,True,177452,856761,298.384,rap
Renaissance,2024-08-03,Eminem,20,2,The Death of Slim Shady (Coup De Grâce),2024-07-12,64,True,217972,1143129,98.152,rap
Brand New Dance,2024-08-03,Eminem,25,2,The Death of Slim Shady (Coup De Grâce),2024-07-12,66,True,174404,947231,206.649,rap
Cowboys Cry Too,2024-08-03,Kelsea Ballerini,50,3,Cowboys Cry Too (with Noah Kahan),2024-06-28,64,True,76,990,230.6,country
Indifferent,2024-08-03,Megan Moroney,91,2,Am I Okay?,2024-07-12,72,False,37663,353655,176.022,country
Outskirts,2024-08-03,Sam Hunt,66,14,Outskirts,2023-03-10,73,False,33588,282214,182.706,country
Evil,2024-07-27,Eminem,30,1,The Death of Slim Shady (Coup De Grâce),2024-07-12,64,True,150301,705902,230.358,rap
Trouble,2024-07-27,Eminem,31,1,The Death of Slim Shady (Coup De Grâce),2024-07-12,61,True,193140,857194,41.487,rap
Lucifer,2024-07-27,Eminem,37,1,The Death of Slim Shady (Coup De Grâce),2024-07-12,63,True,136034,615251,261.758,rap
Antichrist,2024-07-27,Eminem,39,1,The Death of Slim Shady (Coup De Grâce),2024-07-12,63,True,131070,645198,314.226,rap
Guilty Conscience 2,2024-07-27,Eminem,45,1,The Death of Slim Shady (Coup De Grâce),2024-07-12,62,True,119590,591457,325.531,rap
Temporary,2024-07-27,Eminem,56,1,The Death of Slim Shady (Coup De Grâce),2024-07-12,65,True,104335,485086,297.667,rap
Road Rage,2024-07-27,Eminem,59,1,The Death of Slim Shady (Coup De Grâce),2024-07-12,59,True,112769,432230,217.736,rap
Woman's World,2024-07-27,Katy Perry,63,1,WOMAN’S WORLD,2024-07-11,62,False,26531,220060,163.0,pop
Bad One,2024-07-27,Eminem,69,1,The Death of Slim Shady (Coup De Grâce),2024-07-12,62,True,91575,400187,270.006,rap
Head Honcho,2024-07-27,Eminem,72,1,The Death of Slim Shady (Coup De Grâce),2024-07-12,60,True,99252,381218,234.836,rap
Oak Island,2024-07-27,Zach Bryan,48,2,The Great American Bar Scene,2024-07-04,67,False,63736,519727,239.41,country
